DXC,BBY,AMG,CNP,WMT,MRK,NEM,VFC,MDT,HST,MTD,CCI,KMI,RMD,LUV,NWS,AMGN,APD,TGT,MYL,GPC,FCX,KO,DISCK,FISV,ACN,SRCL,IT,PHM,ALB,AAPL,EFX,FE,COST,GWW,M,CRM,LKQ,AON,PEP,RJF,ORCL,MHK,PPL,FMC,OKE,EQR,RCL,IRM,BA,ABC,GIS,SYF,BMY,ADBE,SNPS,BWA,MSI,COF,LYB,RTN,FFIV,HLT,CVS,NEE,KMX,INCY,MGM,AES,GM,FDX,ADP,HOLX,NRG,NBL,MSFT,COG,OXY,GOOGL,GS,HRB,AJG,CINF,TXN,ETN,EXPE,TMO,BSX,CTAS,WBA,UNH,HSY,FB,EIX,SBUX,MCO,HII,RL,LNT,AXP
22.12887954711914,33.17991256713867,208.2840576171875,16.40241813659668,73.01541137695312,49.780845642089844,20.141969680786133,62.42157745361328,70.46037292480469,16.21501350402832,328.6499938964844,68.70916748046875,34.210941314697266,65.97154998779297,42.285316467285156,14.846053123474121,139.77108764648438,122.60478973388672,69.57261657714844,59.349998474121094,81.15541076660156,18.190324783325195,34.737510681152344,29.479999542236328,39.70000076293945,84.22186279296875,140.42999267578125,83.8499984741211,20.659212112426758,48.826473236083984,114.50788116455078,87.83695220947266,28.48910140991211,138.02374267578125,212.1398468017578,50.79764938354492,66.80999755859375,25.559999465942383,90.70262908935547,83.0829086303711,53.113582611083984,39.8414421081543,185.75,24.8863525390625,46.18547821044922,36.38588333129883,60.05521774291992,73.40809631347656,26.711057662963867,131.06285095214844,104.51908874511719,47.030433654785156,27.963476181030273,56.330894470214844,73.94000244140625,46.31999969482422,56.40074157714844,60.64439392089844,70.51819610595703,72.33731079101562,99.14241027832031,114.94000244140625,58.83329391479492,91.3556137084961,89.90338134765625,69.01000213623047,91.66000366210938,20.029888153076172,10.533181190490723,30.310949325561523,157.6053924560547,77.0472640991211,33.029998779296875,23.572847366333008,45.09856414794922,36.66249465942383,28.177221298217773,57.96811294555664,554.7000122070312,174.91139221191406,27.076295852661133,40.91389083862305,46.11833953857422,50.145938873291016,57.64738082885742,89.95684814453125,132.12657165527344,17.75,77.17124938964844,75.57488250732422,109.714111328125,89.7856674194336,82.22000122070312,53.208438873291016,43.336097717285156,97.56402587890625,131.29031372070312,118.7339096069336,26.846176147460938,72.46104431152344
21.847522735595703,30.422969818115234,219.290771484375,16.85246467590332,69.28697204589844,51.582237243652344,24.576730728149414,60.034454345703125,67.26213836669922,16.18287467956543,317.010009765625,69.53327178955078,35.319190979003906,58.765960693359375,38.71540451049805,14.565409660339355,138.07479858398438,116.24272918701172,66.82599639892578,72.26000213623047,78.24671936035156,22.39833641052246,34.74606704711914,30.229999542236328,38.79999923706055,85.10553741455078,133.42999267578125,82.9800033569336,17.936246871948242,55.1654167175293,115.17047882080078,91.54878234863281,29.17978858947754,130.68190002441406,223.4930877685547,50.578529357910156,72.81999969482422,27.06999969482422,91.08507537841797,82.64845275878906,52.879730224609375,40.416595458984375,173.5,25.159915924072266,47.84734344482422,36.73788833618164,56.969932556152344,61.040382385253906,25.253957748413086,125.1768798828125,105.09839630126953,46.347110748291016,28.7005672454834,55.97953414916992,76.05999755859375,46.880001068115234,55.20708465576172,54.349830627441406,72.33436584472656,85.28881072998047,94.37812042236328,122.0199966430664,57.52234649658203,88.19024658203125,87.20759582519531,68.11000061035156,97.16000366210938,20.144176483154297,10.861061096191406,28.338722229003906,161.53005981445312,76.05762481689453,33.7400016784668,23.75412940979004,46.777076721191406,43.857940673828125,32.27069854736328,63.60610580444336,548.77001953125,182.77435302734375,25.5312442779541,41.85906982421875,43.83319091796875,47.82565689086914,58.782623291015625,90.05240631103516,123.6092529296875,17.81999969482422,75.58300018310547,74.01304626464844,103.32363891601562,81.78668212890625,78.7699966430664,51.9052619934082,45.3770637512207,101.060546875,123.27145385742188,120.45845794677734,25.997549057006836,71.83956909179688
21.847522735595703,30.422969818115234,219.290771484375,16.85246467590332,69.28697204589844,51.582237243652344,24.576730728149414,60.034454345703125,67.26213836669922,16.18287467956543,317.010009765625,69.53327178955078,35.319190979003906,58.765960693359375,38.71540451049805,14.565409660339355,138.07479858398438,116.24272918701172,66.82599639892578,72.26000213623047,78.24671936035156,22.39833641052246,34.74606704711914,30.229999542236328,38.79999923706055,85.10553741455078,133.42999267578125,82.9800033569336,17.936246871948242,55.1654167175293,115.17047882080078,91.54878234863281,29.17978858947754,130.68190002441406,223.4930877685547,50.578529357910156,72.81999969482422,27.06999969482422,91.08507537841797,82.64845275878906,52.879730224609375,40.416595458984375,173.5,25.159915924072266,47.84734344482422,36.73788833618164,56.969932556152344,61.040382385253906,25.253957748413086,125.1768798828125,105.09839630126953,46.347110748291016,28.7005672454834,55.97953414916992,76.05999755859375,46.880001068115234,55.20708465576172,54.349830627441406,72.33436584472656,85.28881072998047,94.37812042236328,122.0199966430664,57.52234649658203,88.19024658203125,87.20759582519531,68.11000061035156,97.16000366210938,20.144176483154297,10.861061096191406,28.338722229003906,161.53005981445312,76.05762481689453,33.7400016784668,23.75412940979004,46.777076721191406,43.857940673828125,32.27069854736328,63.60610580444336,548.77001953125,182.77435302734375,25.5312442779541,41.85906982421875,43.83319091796875,47.82565689086914,58.782623291015625,90.05240631103516,123.6092529296875,17.81999969482422,75.58300018310547,74.01304626464844,103.32363891601562,81.78668212890625,78.7699966430664,51.9052619934082,45.3770637512207,101.060546875,123.27145385742188,120.45845794677734,25.997549057006836,71.83956909179688
22.40707015991211,28.825178146362305,211.988525390625,15.484627723693848,63.363731384277344,49.679542541503906,21.69378089904785,58.084693908691406,67.28563690185547,16.092330932617188,341.4599914550781,67.51206970214844,31.56934928894043,52.06514358520508,31.649200439453125,13.321222305297852,134.89791870117188,111.5814437866211,69.660888671875,67.86000061035156,78.50247192382812,17.922521591186523,33.88396072387695,31.079999923706055,41.415000915527344,88.89923858642578,133.91000366210938,85.77999877929688,18.805830001831055,51.314022064208984,115.9103012084961,91.96601104736328,26.711904525756836,123.3827133178711,213.91253662109375,53.07841491699219,69.62999725341797,30.25,94.35063934326172,81.69982147216797,55.89750671386719,37.34040832519531,190.89999389648438,23.678258895874023,42.54595184326172,30.154102325439453,54.54339599609375,71.14515686035156,23.04109001159668,121.91864013671875,98.02790069580078,46.66536331176758,30.340608596801758,58.44780349731445,81.01000213623047,50.650001525878906,53.11985778808594,52.46259689331055,79.08728790283203,85.95034790039062,87.42689514160156,120.3499984741211,54.721717834472656,93.15530395507812,85.35237121582031,66.20999908447266,104.20999908447266,17.382095336914062,10.95191478729248,27.219388961791992,162.54318237304688,72.60791778564453,38.060001373291016,21.533056259155273,39.50669860839844,40.06809997558594,30.112689971923828,62.348148345947266,540.0399780273438,194.89093017578125,25.19944953918457,41.71438217163086,43.828643798828125,45.44363021850586,57.722084045410156,104.66880798339844,127.76924133300781,17.700000762939453,79.96956634521484,75.65680694580078,113.6344223022461,79.4845962524414,85.7699966430664,47.69550323486328,49.230712890625,101.7887954711914,105.81854248046875,119.94010162353516,24.815250396728516,72.35973358154297
22.33538055419922,28.542316436767578,201.6121368408203,15.7368745803833,64.30175018310547,51.45100784301758,15.945306777954102,64.20632934570312,71.18110656738281,15.727145195007324,337.6000061035156,68.86567687988281,28.883493423461914,53.52447509765625,34.62378692626953,13.349286079406738,155.1694793701172,116.21334075927734,69.84864807128906,55.9900016784668,77.99388885498047,11.343743324279785,35.481868743896484,30.299999237060547,43.43000030517578,94.71379089355469,140.97000122070312,88.56999969482422,19.337806701660156,50.320621490478516,112.09375,96.7400131225586,27.869014739990234,132.73736572265625,206.73541259765625,54.329254150390625,73.30000305175781,31.459999084472656,95.66407012939453,84.3344497680664,55.353355407714844,37.1449089050293,201.58999633789062,25.558378219604492,39.29933547973633,29.30657386779785,58.15008544921875,81.23512268066406,22.33499526977539,126.70853424072266,97.4840316772461,49.12409973144531,31.658151626586914,57.97966003417969,81.98999786376953,50.84000015258789,46.456504821777344,55.0427360534668,73.09077453613281,77.90498352050781,99.6801528930664,134.13999938964844,53.331321716308594,100.21286010742188,91.59513854980469,64.51000213623047,104.27999877929688,18.686941146850586,10.65503215789795,25.733064651489258,163.51612854003906,72.19159698486328,41.65999984741211,21.268550872802734,32.77375411987305,42.38233947753906,24.976154327392578,56.27927780151367,657.5,191.4185791015625,28.293081283569336,41.82902908325195,48.221981048583984,44.395233154296875,52.277435302734375,116.24125671386719,137.3893585205078,17.34000015258789,80.82986450195312,86.57884216308594,113.07555389404297,83.11744689941406,94.01000213623047,51.4970703125,53.187904357910156,104.11759948730469,110.34867858886719,114.07720184326172,26.687108993530273,70.81423950195312
21.161090850830078,32.475833892822266,180.80117797851562,15.347214698791504,58.2199592590332,46.9918098449707,15.852435111999512,60.325130462646484,65.64208984375,14.388148307800293,296.54998779296875,70.1099853515625,27.024080276489258,48.2351188659668,35.1672248840332,12.937677383422852,133.98936462402344,113.78321838378906,66.78701782226562,49.59000015258789,73.2063980102539,10.27212142944336,33.961692810058594,25.360000610351562,42.6349983215332,86.59363555908203,141.13999938964844,85.51000213623047,19.3098087310791,41.97407150268555,104.673583984375,92.98957061767578,26.510845184326172,128.2930450439453,203.01795959472656,46.10828399658203,69.36000061035156,29.989999771118164,88.70547485351562,81.34095001220703,49.71481704711914,34.49435043334961,196.97000122070312,24.899534225463867,34.25535583496094,27.92616081237793,55.38288879394531,79.70716094970703,21.064016342163086,115.58518981933594,92.47728729248047,47.90043258666992,30.359033584594727,52.52971267700195,78.56999969482422,46.93000030517578,40.90403366088867,59.306339263916016,70.59272003173828,71.55426788330078,93.71342468261719,121.41000366210938,49.38405227661133,91.24030303955078,86.34473419189453,61.0,116.19000244140625,19.458419799804688,9.989092826843262,24.042566299438477,143.66566467285156,69.97437286376953,38.810001373291016,18.871694564819336,31.08064079284668,39.75679016113281,22.61612892150879,58.53205871582031,647.8200073242188,176.65182495117188,28.913503646850586,38.5571403503418,45.70651626586914,42.494354248046875,49.23986053466797,110.3117446899414,123.44660949707031,16.739999771118164,80.34771728515625,77.85164642333984,107.76640319824219,80.6151351928711,89.43000030517578,50.184112548828125,50.36998748779297,96.75738525390625,106.21428680419922,100.75657653808594,24.587203979492188,71.4287109375
21.115461349487305,33.01520538330078,165.8184814453125,14.869161605834961,58.31890106201172,43.47086715698242,14.947566032409668,57.08144760131836,61.11518478393555,12.989916801452637,284.739990234375,67.01094055175781,23.080114364624023,47.32502365112305,36.45125198364258,12.08474063873291,122.10706329345703,104.77074432373047,67.60347747802734,40.2599983215332,73.2349853515625,9.354968070983887,34.952903747558594,24.290000915527344,43.30500030517578,90.25872802734375,139.30999755859375,83.93000030517578,17.678468704223633,41.22819137573242,102.3899917602539,92.30567932128906,25.97166633605957,132.43359375,195.3583984375,40.623722076416016,69.43000030517578,28.360000610351562,84.12018585205078,83.18035888671875,46.73573303222656,33.592227935791016,181.7899932861328,26.766685485839844,27.606895446777344,24.97146224975586,58.84031295776367,81.1796646118164,23.447294235229492,115.8239974975586,87.80905151367188,47.36876678466797,28.83877182006836,52.621498107910156,82.22000122070312,46.18000030517578,38.98255920410156,62.872928619384766,65.84416198730469,69.86137390136719,99.83549499511719,115.80000305175781,45.62505340576172,85.96549224853516,85.59015655517578,59.31999969482422,110.33000183105469,17.572582244873047,8.149434089660645,24.817869186401367,137.57278442382812,73.18412017822266,39.130001068115234,14.068510055541992,28.075841903686523,40.43280792236328,20.886716842651367,53.61066818237305,638.3699951171875,162.75198364257812,30.941082000732422,36.726295471191406,47.398521423339844,43.986629486083984,44.269283294677734,112.89229583740234,120.55220794677734,16.40999984741211,81.06620788574219,74.74837493896484,108.5225601196289,82.74037170410156,89.9000015258789,54.48795700073242,52.33102035522461,92.8704605102539,101.09132385253906,107.55992126464844,25.376840591430664,69.01732635498047
21.115461349487305,33.01520538330078,165.8184814453125,14.869161605834961,58.31890106201172,43.47086715698242,14.947566032409668,57.08144760131836,61.11518478393555,12.989916801452637,284.739990234375,67.01094055175781,23.080114364624023,47.32502365112305,36.45125198364258,12.08474063873291,122.10706329345703,104.77074432373047,67.60347747802734,40.2599983215332,73.2349853515625,9.354968070983887,34.952903747558594,24.290000915527344,43.30500030517578,90.25872802734375,139.30999755859375,83.93000030517578,17.678468704223633,41.22819137573242,102.3899917602539,92.30567932128906,25.97166633605957,132.43359375,195.3583984375,40.623722076416016,69.43000030517578,28.360000610351562,84.12018585205078,83.18035888671875,46.73573303222656,33.592227935791016,181.7899932861328,26.766685485839844,27.606895446777344,24.97146224975586,58.84031295776367,81.1796646118164,23.447294235229492,115.8239974975586,87.80905151367188,47.36876678466797,28.83877182006836,52.621498107910156,82.22000122070312,46.18000030517578,38.98255920410156,62.872928619384766,65.84416198730469,69.86137390136719,99.83549499511719,115.80000305175781,45.62505340576172,85.96549224853516,85.59015655517578,59.31999969482422,110.33000183105469,17.572582244873047,8.149434089660645,24.817869186401367,137.57278442382812,73.18412017822266,39.130001068115234,14.068510055541992,28.075841903686523,40.43280792236328,20.886716842651367,53.61066818237305,638.3699951171875,162.75198364257812,30.941082000732422,36.726295471191406,47.398521423339844,43.986629486083984,44.269283294677734,112.89229583740234,120.55220794677734,16.40999984741211,81.06620788574219,74.74837493896484,108.5225601196289,82.74037170410156,89.9000015258789,54.48795700073242,52.33102035522461,92.8704605102539,101.09132385253906,107.55992126464844,25.376840591430664,69.01732635498047
25.582475662231445,28.26571273803711,171.86972045898438,14.171168327331543,52.922332763671875,46.65702819824219,17.124122619628906,54.144100189208984,68.78424835205078,13.63900089263916,342.7799987792969,72.9924087524414,20.021209716796875,55.61137390136719,43.963809967041016,13.630682945251465,142.9368133544922,112.41624450683594,62.79850387573242,51.29999923706055,80.07343292236328,7.927809238433838,37.41568374633789,29.579999923706055,48.119998931884766,99.54733276367188,120.72000122070312,93.30000305175781,18.249948501586914,50.07216262817383,110.2863540649414,106.18595123291016,26.343257904052734,148.25125122070312,183.2286834716797,30.93482208251953,79.69000244140625,29.489999771118164,90.22513580322266,88.34935760498047,55.3050422668457,36.38683319091797,190.72000122070312,27.70258903503418,34.98283767700195,23.287813186645508,62.52176284790039,84.38713836669922,21.36294937133789,129.44454956054688,91.49978637695312,49.523521423339844,29.327102661132812,59.56362533569336,91.45999908447266,50.08000183105469,40.13496017456055,65.99910736083984,71.63849639892578,80.96800231933594,114.04045867919922,103.0,46.248687744140625,84.12036895751953,88.98271942138672,57.29999923706055,114.23999786376953,21.658565521240234,8.391382217407227,29.926939010620117,151.48487854003906,78.55728149414062,40.349998474121094,11.84131908416748,34.29051208496094,49.984981536865234,18.008214950561523,61.261226654052734,762.8499755859375,178.59133911132812,31.359899520874023,38.923828125,53.838741302490234,51.96366500854492,50.680355072021484,118.33317565917969,136.44442749023438,18.280000686645508,87.58171081542969,75.9189224243164,105.43553161621094,78.26383209228516,104.23999786376953,51.282779693603516,56.70307922363281,97.85218048095703,123.98104858398438,113.06716918945312,26.354476928710938,66.95153045654297
26.815847396850586,27.28581428527832,154.92811584472656,15.350005149841309,55.596736907958984,46.89155197143555,16.755075454711914,52.41654586791992,70.5765151977539,12.765545845031738,339.1300048828125,74.21672058105469,12.673584938049316,50.12212371826172,41.324100494384766,13.159360885620117,144.0281524658203,107.55545043945312,62.893802642822266,54.06999969482422,76.40412139892578,6.561280250549316,37.71415710449219,25.219999313354492,45.72999954223633,97.02195739746094,120.5999984741211,90.69999694824219,16.777917861938477,52.673030853271484,98.12966918945312,106.0621566772461,26.628597259521484,148.32472229003906,185.1016845703125,27.955032348632812,78.4000015258789,29.6299991607666,87.81570434570312,88.75508117675781,54.77460479736328,34.10857391357422,189.38999938964844,28.09172248840332,32.00911331176758,19.480241775512695,64.35243225097656,92.58094024658203,20.77082061767578,128.67916870117188,96.20280456542969,49.43778991699219,28.018756866455078,61.4808235168457,93.94000244140625,45.61000061035156,40.642642974853516,63.31148910522461,65.8625259399414,73.43059539794922,114.50018310546875,96.95999908447266,42.623687744140625,87.41045379638672,92.5737533569336,53.970001220703125,108.44999694824219,21.639514923095703,8.038590431213379,28.41258430480957,142.602294921875,77.63143920898438,38.689998626708984,11.276079177856445,30.793197631835938,51.024227142333984,16.917966842651367,55.394256591796875,778.010009765625,169.39015197753906,28.625961303710938,36.733680725097656,52.93668746948242,49.004276275634766,45.347415924072266,119.47698974609375,140.00108337402344,18.440000534057617,87.06533813476562,76.93986511230469,110.52268981933594,80.94789123535156,104.66000366210938,51.5627555847168,55.4469108581543,95.21417999267578,120.12673950195312,101.93999481201172,27.34402084350586,64.998291015625
