,const,SMB,HML,RF
SNPS,0.013601209790984219,0.004408216875568518,-0.0012888381067225718,0.0871575942450807
BWA,-0.007120149480643205,0.003749534672926482,0.002313613476737182,0.07930299989221237
MSI,0.009731700677325943,0.00520655887004887,0.0024104501521848244,0.11959858893023902
COF,0.007187426155323073,0.00729398382913246,0.006503896902198549,0.05361787212400958
LYB,0.010861194155323408,0.007371245746661889,0.007171458488764536,0.0003259526725110165
RTN,0.022819610593407636,0.002862900835377429,-0.002937049534224346,-0.09274467377692558
FFIV,0.011258358970132708,0.0001074881390898876,-0.0008443281031213861,-0.08154846196627458
HLT,0.0034958930975476444,0.003716957695726342,-0.0006322361897818237,0.12095555046382406
CVS,-0.007680892252405729,-0.0010415907798860397,0.00015834353432409324,0.0691208204490843
NEE,0.012106271652797242,-0.003591679587201064,-0.0027582060837794123,0.055871867983480594
KMX,-0.005107696039477994,0.003210169617402319,0.0038095816747354856,0.16604120935747924
INCY,0.011597773232824578,0.013600662618280948,-0.007198903980033363,-0.07267001949206675
MGM,0.016231317825229817,0.003770330601782675,0.0008029641851472818,-0.04851500315361771
AES,-0.005297741049011153,0.004958669934043909,-0.0005264821475409513,0.2188273603535383
GM,0.0037658079733117814,0.008070098819852904,0.0029405034212198304,0.052165893162294766
FDX,0.013414250770147308,0.00698325437623137,0.0003630325522345296,-0.1313010310371882
ADP,0.0075034220885396045,0.004283752834056742,0.000618386325736102,0.09090302813720505
HOLX,0.007977737031694762,0.0028346573165337046,0.001912123864557996,0.034876992382542146
NRG,0.004716198619283015,0.003992985780028821,-0.0012399176952791143,0.1419415906924498
NBL,-0.012247448766416275,0.012065714503382122,0.01051617487635153,0.15281880040144985
MSFT,0.0225653783950641,-0.002318260429501192,0.001698675922433257,0.042635896720775626
COG,-0.002901488557788037,0.007995000176521098,-0.0003153949607272706,-0.012509600968008891
OXY,0.005642614572716747,0.007829408965181108,-8.209550745390975e-05,-0.10565505479897173
GOOGL,0.023359682447188397,-0.001913991626253779,-0.004817816317297254,-0.09403294522461528
GS,0.009674016226065629,0.003897378976332998,0.008604681492822794,0.00977061551769904
HRB,-0.00228619521991503,0.0009811889521636067,-0.005757397552266813,0.00023016354857749444
AJG,0.009557402923169263,0.0007634010823610267,0.0010403102887624352,0.07427340223278267
CINF,0.010693243994504834,0.0017830474246237715,0.002502504247782084,0.07172577470539475
TXN,0.0157408694344738,0.00439149382417519,0.000626347020670113,0.034912859753676
ETN,0.0038901962375608103,0.007716430036571337,0.0020592405471117764,0.090843852354652
EXPE,0.015294768742734003,-0.0003719687277465931,-0.0025363653224181708,-0.11473919576105954
TMO,0.010901456169180158,0.0005425622968089506,-0.0040543367158343245,0.06815913950776617
BSX,0.015858354258199595,0.003104552679613585,-0.00701913730185315,0.014305146976854723
CTAS,0.016998697028193607,0.006533174924306734,0.0002798431761570331,0.08251199200301379
WBA,0.0032598143801755674,-0.002313452266010427,0.0013789917611398144,-0.054945362028215594
UNH,0.023115002297527512,0.004480028447441444,-0.002034689381881825,-0.04300189028312098
HSY,-0.0023641425423123717,-0.007382720096228928,-0.0016918237538885836,0.12257882416273738
FB,0.024876331127998377,0.005878403247559091,-0.007652482447863817,-0.08462397452606255
EIX,0.005676022051158338,-0.006058508013200419,0.0014793723416204284,0.030554924212846897
SBUX,0.004142107678417232,-0.0004433693175045795,0.0014778654635485332,0.12003157811927073
MCO,0.01097413588007047,0.006065902271463266,-0.0030616034682890863,0.0912358143370317
HII,0.01972203381668881,0.001667484932416584,-0.0004486238610095204,-0.0719243771182988
RL,-0.00808130721722316,0.009828232716813604,0.004102950526036227,0.16116797188468202
LNT,0.009054864968751377,-0.0019877607736662824,-0.0010938958578164805,0.039520768025413724
AXP,0.0016309429967827085,0.002037215388720554,0.003925492151289237,0.1174012653892331
